title,house_type,price,size,construction_costs
Dom w klementynkach 2,jednorodzinny z poddaszem,3370,99,186000
Dom w kruszczykach 3 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3060,105,186300
Dom w rododendronach 3,jednorodzinny z poddaszem,3370,97,186700
Dom w kostrzewach 9 (E),jednorodzinny parterowy,3570,91,186900
Dom - Miniaturka (NT),"jednorodzinny z poddaszem, ze stropem teriva",3370,99,187900
Dom w kronselkach,jednorodzinny z poddaszem,3370,100,188100
Dom w motylkach 2,jednorodzinny z poddaszem,3370,73,188500
Dom w kroplikach (W),jednorodzinny z poddaszem,3370,97,188800
Dom w zielistkach (GT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,189400
Dom w borówkach 6,jednorodzinny z poddaszem,3060,90,189700
Dom w zielistkach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,87,190400
Dom w plumeriach,jednorodzinny parterowy,3060,84,190600
Dom w malinówkach 14,jednorodzinny z poddaszem,3600,109,191000
Dom pod limbami,jednorodzinny z poddaszem,3370,100,191800
Dom w malinówkach (E),jednorodzinny z poddaszem,3570,90,192500
Dom w cienistkach (A),jednorodzinny z poddaszem,3060,110,192900
Dom w zielistkach 25,jednorodzinny z poddaszem,3370,111,194100
Dom w prymulkach,jednorodzinny z poddaszem,3370,86,195600
Dom w rododendronach 3,jednorodzinny z poddaszem,3370,97,186700
Dom w kostrzewach 9 (E),jednorodzinny parterowy,3570,91,186900
Dom - Miniaturka (NT),"jednorodzinny z poddaszem, ze stropem teriva",3370,99,187900
Dom w kronselkach,jednorodzinny z poddaszem,3370,100,188100
Dom w motylkach 2,jednorodzinny z poddaszem,3370,73,188500
Dom w kroplikach (W),jednorodzinny z poddaszem,3370,97,188800
Dom w zielistkach (GT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,189400
Dom w borówkach 6,jednorodzinny z poddaszem,3060,90,189700
Dom w zielistkach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,87,190400
Dom w plumeriach,jednorodzinny parterowy,3060,84,190600
Dom w malinówkach 14,jednorodzinny z poddaszem,3600,109,191000
Dom pod limbami,jednorodzinny z poddaszem,3370,100,191800
Dom w malinówkach (E),jednorodzinny z poddaszem,3570,90,192500
Dom w cienistkach (A),jednorodzinny z poddaszem,3060,110,192900
Dom w zielistkach 25,jednorodzinny z poddaszem,3370,111,194100
Dom w prymulkach,jednorodzinny z poddaszem,3370,86,195600
Dom w porcelankach,jednorodzinny z poddaszem,3370,114,195900
Dom w zielistkach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,88,196000
Dom w zielistkach 3,jednorodzinny z poddaszem,3370,89,196500
Dom pod bukami 4,jednorodzinny z poddaszem,3370,74,197200
Dom w wisteriach 8 (N),jednorodzinny z poddaszem,3600,110,198100
Dom w mekintoszach 9,jednorodzinny parterowy,3370,94,198500
Dom w klematisach 21,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,104,198700
Dom we wrzosach,jednorodzinny parterowy,3370,113,199200
Dom w zielistkach 3 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,118,199500
Dom w dereniach 2,jednorodzinny parterowy,3370,120,200400
Dom w sasankach 4,jednorodzinny z poddaszem,3370,105,200400
Dom w poziomkach 3 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,87,201100
Dom w gunnerach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,95,201400
Dom w lukrecji 2,jednorodzinny z poddaszem,3370,101,202100
Dom pod wierzbą (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,109,203200
Dom pod wierzbą,jednorodzinny z poddaszem,3370,91,203600
Dom w kostrzewach 4,jednorodzinny parterowy,3370,93,203900
Dom w porcelankach,jednorodzinny z poddaszem,3370,114,195900
Dom w zielistkach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,88,196000
Dom w zielistkach 3,jednorodzinny z poddaszem,3370,89,196500
Dom pod bukami 4,jednorodzinny z poddaszem,3370,74,197200
Dom w wisteriach 8 (N),jednorodzinny z poddaszem,3600,110,198100
Dom w mekintoszach 9,jednorodzinny parterowy,3370,94,198500
Dom w klematisach 21,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,104,198700
Dom we wrzosach,jednorodzinny parterowy,3370,113,199200
Dom w zielistkach 3 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,118,199500
Dom w dereniach 2,jednorodzinny parterowy,3370,120,200400
Dom w sasankach 4,jednorodzinny z poddaszem,3370,105,200400
Dom w poziomkach 3 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,87,201100
Dom w gunnerach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,95,201400
Dom w lukrecji 2,jednorodzinny z poddaszem,3370,101,202100
Dom pod wierzbą (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,109,203200
Dom pod wierzbą,jednorodzinny z poddaszem,3370,91,203600
Dom w kostrzewach 4,jednorodzinny parterowy,3370,93,203900
Dom w lipiennikach 2,jednorodzinny parterowy,3370,95,204300
Dom pod pomarańczą 3,jednorodzinny parterowy,3370,99,204400
Dom w kosaćcach 2 (GN),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,99,204800
Dom w zielistkach (A),jednorodzinny z poddaszem,3370,112,205500
Dom w lilakach 14,jednorodzinny parterowy,3370,112,205900
Dom w malinówkach 11 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,94,206300
Dom w lipiennikach,jednorodzinny parterowy,3370,113,206600
Dom w godecjach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,111,206700
Dom w rododendronach 5 (WN),jednorodzinny z poddaszem,3600,85,206900
Dom w rododendronach 4,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,88,208300
Dom w gazaniach,jednorodzinny parterowy,3060,100,208800
Dom pod jarząbem 7,jednorodzinny parterowy,3370,115,209000
Dom w zielistkach 5,jednorodzinny z poddaszem,3370,113,209600
Dom w aurorach 14,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,91,210600
Dom w kostrzewach 6,jednorodzinny parterowy,3370,95,211500
Dom w lipiennikach 2,jednorodzinny parterowy,3370,95,204300
Dom pod pomarańczą 3,jednorodzinny parterowy,3370,99,204400
Dom w kosaćcach 2 (GN),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,99,204800
Dom w zielistkach (A),jednorodzinny z poddaszem,3370,112,205500
Dom w lilakach 14,jednorodzinny parterowy,3370,112,205900
Dom w malinówkach 11 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,94,206300
